Year,school_id,School_Name,Report_Type,Number_Students_Served_Full_Year,Percent_Students_Attending_at_Least_90_Percent,Percent_Students_Receiving_Zero_Out_of_School_Suspensions,Percent_Teachers_Attending_at_Least_90_Percent,Percent_Teachers_Rated_Distinguished,Rated_as_Proficient,Admission_Type,Number_Dropouts_Grades_7_to_12,October_1_Enrollment,PSSA_ELA_Percent_Students_Below_Basic_Grade_3,PSSA_ELA_Percent_Students_Below_Basic_Grades_3_to_8,PSSA_ELA_Percent_Students_Proficient_or_Advanced_Grade_3,PSSA_ELA_Percent_Students_Proficient_or_Advanced_Grades_3_to_8,PSSA_Math_Percent_Students_Below_Basic_Grade_3,PSSA_Math_Percent_Students_Below_Basic_Grades_3_to_8,PSSA_Math_Percent_Students_Proficient_or_Advanced_Grade_3,PSSA_Math_Percent_Students_Proficient_or_Advanced_Grades_3_to_8,PSSA_Science_Percent_Students_Below_Basic_Grades_4_to_8,PSSA_Science_Percent_Students_Proficient_or_Advanced_Grades_4_to_8,Percent_Metrics_Improving_All_Students,Year_to_Year_Teacher_Retention
2022-2023,6250,Charles W. Henry School,K-8 School,517,83,97.1,85.3,15.6,84.4,Catchment,2,488,8.2,8.5,70.5,67,17.7,25.3,61.3,48.4,7.7,74.7,57.1,97.1
2022-2023,6260,Henry H. Houston School,K-8 School,390,77.7,96.2,85.7,8.3,87.5,Catchment,3,370,20,18.4,56,39,22.9,45.1,64.6,31.4,33.8,37.8,100,93.1
2022-2023,6270,Jenks Academy for Arts and Sciences,K-8 School,440,75.2,97.1,89.3,13,87,Catchment,1,424,15.1,13,56.6,51.4,25.5,38.6,52.9,31.1,17.8,58.9,85.7,89.7
2022-2023,6310,John F. McCloskey School,K-8 School,274,70.1,91.2,80,0,100,Catchment,0,250,Insufficient Sample,19.5,Insufficient Sample,30.3,Insufficient Sample,62.6,Insufficient Sample,9,33.3,37.7,90,76.2
2022-2023,6320,Thomas Mifflin School,K-8 School,360,58.9,88.6,88,16.7,83.3,Catchment,1,332,16.7,11.2,50,40.5,29.3,47.5,46.3,22.1,21.8,45.5,71.4,76.9
2022-2023,6350,Samuel Pennypacker School,K-8 School,384,64.1,95.1,64,4.8,90.5,Catchment,0,325,45.7,28.3,14.3,21.4,78.4,78.3,5.4,4.2,47.6,23.8,71.4,88.5
2022-2023,6360,Theodore Roosevelt School,K-8 School,570,22.6,94.6,76.1,3.3,93.3,Catchment,5,448,57.6,42,15.2,16.4,80,84.6,8.6,4,56,19,50,77.3
2022-2023,6380,Shawmont School,K-8 School,437,67.7,97.9,86.2,3.7,96.3,Catchment,0,390,25.6,15.3,41,50.5,47.5,41.7,35,25.2,20.3,50,35.7,93.3
2022-2023,6390,Edward T. Steel School,K-8 School,411,47.9,96.1,77.5,0,91.7,Catchment,0,321,43.3,38.9,13.3,12,82.9,86,2.9,1.5,50.7,23.2,64.3,82.1
2022-2023,6410,Cook-Wissahickon School,K-8 School,439,72.7,93.4,82.4,16.7,83.3,Catchment,0,423,10.3,12.9,43.6,53,33.3,41.1,41,32.8,24.7,51.6,64.3,75.8
2022-2023,6440,Anna L. Lingelbach School,K-8 School,327,74.9,99.1,95.8,4.6,86.4,Catchment,0,302,12.9,15.5,71,39.9,28.1,52,37.5,19.4,26.7,38.3,92.9,92.3
2022-2023,6450,James Dobson School,K-8 School,250,75.6,96.4,82.6,27.8,72.2,Catchment,0,241,Insufficient Sample,7.7,Insufficient Sample,60.1,Insufficient Sample,28.9,Insufficient Sample,41.6,11.5,63.5,70,86.4
2022-2023,7100,Jay Cooke School,K-8 School,437,58.4,100,77.8,5.6,91.7,Catchment,1,370,41,36.1,15.4,17.9,80.6,75.1,13.9,7.4,49.3,19.4,71.4,95.2
2022-2023,7150,Juniata Park Academy,K-8 School,972,62.4,95.6,82,0,100,Catchment,3,869,30.7,26.3,33,33.1,61.8,59.7,16.9,16,34.6,35.6,57.1,84.4
2022-2023,7270,Thomas K. Finletter School,K-8 School,700,72.6,94,91.1,0,93.3,Catchment,1,615,22,23.1,30.5,31.7,47.5,64.8,19.7,13.6,36.4,31,78.6,55.3
2022-2023,7280,Benjamin Franklin School,K-8 School,689,65,95.4,65.9,0,100,Catchment,1,605,37.3,31.9,23.5,24.7,59.3,66.7,9.3,8.3,45.8,23.7,64.3,65.1
2022-2023,7290,Allen M. Stearne School,K-8 School,437,51.5,82.4,93.9,14.3,85.7,Catchment,0,380,29.3,34.9,14.6,11.9,78.6,81.4,4.8,4,49.4,24.7,92.9,87.9
2022-2023,7300,Francis Hopkinson School,K-8 School,688,57.6,93,82.4,20,80,Catchment,6,601,26.9,23.1,14.9,26.8,52.9,59.3,25,12.5,36.4,33.3,42.9,78
2022-2023,7390,Andrew J. Morrison School,K-8 School,580,62.4,95.2,76.9,0,91.2,Catchment,0,525,32.7,33.4,21.2,19.5,73.6,73.6,7.6,6.4,50.5,22.4,57.1,80
2022-2023,7400,Olney School,K-8 School,775,64.5,96.8,63.3,4.9,95.1,Catchment,1,715,47.5,26.6,9.8,28.1,47.6,70.1,19.1,8.8,34,28.2,42.9,83.7
2022-2023,7460,William H. Ziegler School,K-8 School,588,59.9,98.1,86.1,3.5,96.6,Catchment,2,489,28.6,26.8,33.3,27.1,59.1,68,25,9.3,36.1,19.8,78.6,85
2022-2023,7470,Bridesburg School,K-8 School,627,60,96.2,80.5,0,97.3,Catchment,1,597,13.2,12.9,35.9,43.8,31.5,40,33.3,25.8,21.1,55.3,42.9,92.7
2022-2023,7510,Mary M. Bethune School,K-8 School,514,44.6,90.5,92.1,4.2,95.8,Catchment,2,453,44.4,31.9,11.1,16.2,69.6,77.9,8.7,5.3,45.7,24.7,85.7,87.8
2022-2023,8130,Northeast Community Propel Academy,K-8 School,1859,61.1,90.4,85,3.1,93.9,Catchment,6,1723,36.3,26.5,25.8,31.4,61.5,64,18.5,15.1,40.8,33.2,21.4,91.2
2022-2023,8200,Ethan Allen School,K-8 School,1037,59.6,99.7,82.8,0,98,Catchment,8,912,40.5,39.2,19.1,19.9,64.2,70.7,16.8,10.4,55.9,19.2,57.1,86.2
2022-2023,8210,Joseph H. Brown School,K-8 School,484,63,98.6,77.4,0,100,Catchment,1,381,30.2,26,20.9,31.7,61.4,61.6,2.3,12.4,37.8,26.8,42.9,84.9
2022-2023,8240,Hamilton Disston School,K-8 School,836,52.9,94.6,77.3,0,94.1,Catchment,4,713,39,40.8,8.5,13.7,61.3,73.9,14.5,6.4,46.6,21.8,42.9,81.3
2022-2023,8270,Thomas Holme School,K-8 School,819,68.6,95.7,78.9,2.2,95.6,Catchment,0,721,21.3,16.1,38.7,42.8,44.7,43.2,32.9,27.6,31.1,45.9,42.9,90.4
2022-2023,8300,Mayfair School,K-8 School,1837,75.1,98.6,82.5,22,78.1,Catchment,9,1678,35,28.6,32.9,38.6,45.5,51.8,35.3,27.1,32.5,45.8,28.6,89.6
2022-2023,8350,Gilbert Spruance School,K-8 School,1358,68,93.7,71.4,1.6,98.4,Catchment,6,1256,35.9,30.3,17.1,25.9,56.8,60.6,21.2,14.1,40.4,34.3,57.1,92.3
2022-2023,8380,Louis H. Farrell School,K-8 School,1207,69.4,97.8,80.9,1.6,98.4,Catchment,1,1093,27.7,22.6,36.6,38.3,35,46.7,41.8,26.7,27.5,43.8,57.1,91.7
2022-2023,8390,A.L. Fitzpatrick School,K-8 School,840,62.4,95.8,81,0,100,Catchment,0,754,15.3,18.3,47.2,44,36,46.9,45.3,24,29.8,50.3,71.4,80.4
2022-2023,8410,Robert B. Pollock School,K-8 School,781,54.2,97.7,72.3,2.4,95.2,Catchment,0,683,23.9,19.3,35.2,37.7,52.1,48,21.9,25.9,24.5,47.6,64.3,89.8
2022-2023,8420,Stephen Decatur School,K-8 School,967,72.1,99.4,95.2,5.5,94.6,Catchment,1,887,17,11.9,53,54.1,31.4,36.6,45.1,37,15.3,62.4,85.7,90.6
2022-2023,8430,Joseph Greenberg School,K-8 School,901,89.5,98.8,90.2,75,25,Catchment,1,831,6,3.1,79.5,82.2,4.6,12.5,83.9,62.4,8.3,82.8,35.7,92
2022-2023,8770,John Hancock Demonstration School,K-8 School,766,74.8,96.1,84.5,22.6,77.4,Catchment,2,687,25.3,15.2,37.3,50.1,38.7,39.4,32,31.4,26.1,59,28.6,94.9
2022-2023,8780,Philadelphia Virtual Academy,K-8 School,550,78,99.8,76.5,Insufficient Sample,Insufficient Sample,Insufficient Sample,5,488,Insufficient Sample,25.4,Insufficient Sample,18.6,Insufficient Sample,75.9,Insufficient Sample,5.6,Insufficient Sample,Insufficient Sample,14.3,Insufficient Sample
